Number.of.Homicide.Convictions,Number.of.Homicide.Unsuccessful,Number.of.Offences.Against.The.Person.Convictions,Number.of.Offences.Against.The.Person.Unsuccessful,Number.of.Sexual.Offences.Convictions,Number.of.Sexual.Offences.Unsuccessful,Number.of.Burglary.Convictions,Number.of.Burglary.Unsuccessful,Number.of.Robbery.Convictions,Number.of.Robbery.Unsuccessful,Number.of.Theft.And.Handling.Convictions,Number.of.Theft.And.Handling.Unsuccessful,Number.of.Fraud.And.Forgery.Convictions,Number.of.Fraud.And.Forgery.Unsuccessful,Number.of.Criminal.Damage.Convictions,Number.of.Criminal.Damage.Unsuccessful,Number.of.Drugs.Offences.Convictions,Number.of.Drugs.Offences.Unsuccessful,Number.of.Public.Order.Offences.Convictions,Number.of.Public.Order.Offences.Unsuccessful,Number.of.All.Other.Offences..excluding.Motoring..Convictions,Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful,Number.of.Motoring.Offences.Convictions,Number.of.Motoring.Offences.Unsuccessful,Number.of.Admin.Finalised.Unsuccessful
54 ,20 ,10056 ,2644 ,994 ,337 ,1099 ,188 ,370 ,92 ,6192 ,579 ,867 ,140 ,1767 ,245 ,3465 ,283 ,3296 ,570,739,119,7167 ,1160 ,948
2 ,1 ,255 ,62 ,41 ,9 ,29 ,3 ,8 ,4 ,140 ,7 ,25 ,2 ,60 ,10 ,53 ,4 ,75 ,9,14,3,184,21,33
0 ,0 ,115 ,18 ,4 ,0 ,8 ,1 ,6 ,0 ,68 ,10 ,7 ,1 ,9 ,3 ,17 ,2 ,19 ,6,5,1,97,25,22
1 ,0 ,108 ,27 ,13 ,1 ,12 ,1 ,0 ,1 ,65 ,3 ,9 ,0 ,17 ,1 ,23 ,2 ,23 ,2,6,4,70,7,16
3 ,1 ,263 ,64 ,18 ,11 ,17 ,3 ,7 ,2 ,145 ,14 ,15 ,0 ,40 ,3 ,103 ,4 ,123 ,16,12,2,230,41,12
1 ,1 ,118 ,36 ,10 ,1 ,22 ,11 ,7 ,1 ,175 ,5 ,15 ,4 ,30 ,4 ,48 ,4 ,46 ,8,7,0,55,10,4
0 ,0 ,102 ,11 ,3 ,0 ,8 ,3 ,5 ,1 ,71 ,5 ,7 ,1 ,19 ,0 ,19 ,0 ,21 ,1,4,0,99,6,2
0 ,0 ,173 ,35 ,13 ,1 ,17 ,0 ,10 ,0 ,131 ,13 ,18 ,0 ,31 ,2 ,51 ,7 ,62 ,5,11,1,100,13,11
1 ,0 ,195 ,29 ,8 ,3 ,33 ,2 ,2 ,0 ,111 ,4 ,7 ,1 ,37 ,3 ,56 ,1 ,72 ,8,8,4,178,20,11
1 ,1 ,132 ,22 ,17 ,1 ,8 ,2 ,3 ,3 ,68 ,2 ,5 ,1 ,24 ,4 ,41 ,2 ,53 ,9,11,1,96,18,7
0 ,0 ,134 ,17 ,7 ,2 ,19 ,1 ,2 ,1 ,139 ,7 ,6 ,0 ,22 ,2 ,14 ,0 ,24 ,0,7,1,103,2,7
1 ,0 ,74 ,20 ,7 ,4 ,3 ,1 ,0 ,0 ,46 ,3 ,1 ,0 ,14 ,0 ,39 ,2 ,26 ,1,4,0,66,5,5
4 ,0 ,283 ,61 ,32 ,15 ,25 ,4 ,7 ,1 ,116 ,9 ,18 ,4 ,42 ,7 ,73 ,5 ,64 ,8,19,3,188,77,25
0 ,0 ,69 ,11 ,4 ,1 ,2 ,1 ,1 ,0 ,47 ,4 ,5 ,2 ,16 ,0 ,18 ,0 ,23 ,3,2,0,54,7,8
2 ,0 ,493 ,104 ,71 ,32 ,51 ,6 ,38 ,7 ,171 ,10 ,26 ,4 ,76 ,12 ,106 ,10 ,168 ,12,34,5,367,37,33
0 ,0 ,103 ,18 ,7 ,3 ,18 ,0 ,2 ,0 ,100 ,7 ,5 ,0 ,20 ,6 ,39 ,1 ,36 ,6,11,1,77,12,4
0 ,0 ,276 ,50 ,35 ,10 ,24 ,6 ,7 ,0 ,150 ,20 ,19 ,4 ,50 ,10 ,49 ,3 ,57 ,13,14,2,209,14,23
1 ,0 ,150 ,47 ,10 ,3 ,18 ,3 ,6 ,2 ,152 ,8 ,17 ,4 ,29 ,3 ,54 ,2 ,35 ,6,6,6,114,29,25
1 ,0 ,173 ,41 ,11 ,6 ,19 ,3 ,6 ,1 ,129 ,11 ,8 ,3 ,40 ,3 ,52 ,11 ,48 ,7,3,1,95,14,32
1 ,1 ,279 ,75 ,21 ,11 ,41 ,0 ,10 ,0 ,139 ,16 ,29 ,2 ,62 ,6 ,77 ,6 ,59 ,14,21,3,160,22,30
2 ,1 ,264 ,71 ,8 ,3 ,39 ,3 ,9 ,5 ,195 ,12 ,24 ,7 ,58 ,6 ,68 ,3 ,126 ,16,32,2,257,56,16
2 ,1 ,205 ,36 ,18 ,9 ,18 ,5 ,10 ,0 ,70 ,6 ,17 ,4 ,31 ,6 ,31 ,3 ,53 ,7,9,1,100,18,12
1 ,1 ,122 ,30 ,9 ,0 ,19 ,2 ,1 ,0 ,91 ,8 ,15 ,1 ,29 ,4 ,43 ,7 ,55 ,9,6,0,133,34,9
5 ,1 ,321 ,59 ,37 ,9 ,18 ,3 ,15 ,0 ,176 ,10 ,22 ,0 ,49 ,3 ,177 ,8 ,104 ,11,16,3,266,39,17
9 ,4 ,1455 ,626 ,141 ,73 ,175 ,51 ,73 ,30 ,687 ,157 ,210 ,42 ,198 ,51 ,904 ,98 ,457 ,154,192,23,850,238,217
0 ,0 ,175 ,21 ,4 ,1 ,11 ,1 ,3 ,1 ,100 ,3 ,22 ,2 ,26 ,5 ,41 ,0 ,82 ,9,6,4,120,8,12
1 ,0 ,117 ,39 ,9 ,1 ,14 ,1 ,4 ,0 ,54 ,6 ,3 ,1 ,29 ,4 ,23 ,2 ,26 ,2,13,1,98,11,11
3 ,0 ,257 ,77 ,51 ,12 ,37 ,9 ,5 ,5 ,301 ,21 ,26 ,6 ,63 ,4 ,73 ,9 ,154 ,36,21,4,214,34,13
2 ,1 ,152 ,27 ,13 ,5 ,11 ,2 ,4 ,3 ,87 ,5 ,7 ,0 ,22 ,1 ,43 ,2 ,53 ,3,4,1,125,10,2
2 ,0 ,139 ,42 ,4 ,0 ,16 ,3 ,0 ,0 ,127 ,10 ,12 ,3 ,24 ,4 ,30 ,4 ,63 ,19,9,2,128,15,38
1 ,0 ,238 ,57 ,56 ,9 ,23 ,6 ,4 ,2 ,165 ,7 ,15 ,1 ,49 ,6 ,104 ,11 ,114 ,24,16,3,144,13,13
0 ,0 ,359 ,120 ,39 ,6 ,38 ,3 ,11 ,3 ,252 ,18 ,26 ,2 ,72 ,10 ,130 ,8 ,137 ,20,17,5,226,71,17
1 ,1 ,266 ,74 ,15 ,2 ,50 ,7 ,5 ,3 ,195 ,29 ,12 ,3 ,57 ,6 ,69 ,2 ,79 ,5,20,4,162,27,20
1 ,1 ,210 ,47 ,14 ,14 ,35 ,3 ,8 ,0 ,136 ,8 ,24 ,4 ,41 ,5 ,65 ,3 ,55 ,3,11,1,156,21,19
0 ,0 ,127 ,13 ,7 ,0 ,11 ,2 ,2 ,0 ,40 ,2 ,6 ,1 ,28 ,1 ,45 ,3 ,30 ,0,3,1,72,4,3
0 ,0 ,124 ,37 ,16 ,2 ,19 ,2 ,1 ,0 ,67 ,6 ,20 ,2 ,23 ,3 ,48 ,4 ,23 ,7,10,1,117,9,8
0 ,0 ,226 ,65 ,24 ,11 ,19 ,1 ,2 ,0 ,108 ,13 ,14 ,2 ,22 ,7 ,69 ,6 ,65 ,10,17,2,216,18,11
3 ,1 ,278 ,95 ,31 ,11 ,32 ,7 ,10 ,3 ,170 ,10 ,36 ,3 ,51 ,9 ,124 ,6 ,91 ,12,31,3,313,32,31
0 ,0 ,58 ,16 ,8 ,6 ,9 ,2 ,2 ,0 ,55 ,8 ,7 ,1 ,14 ,2 ,22 ,2 ,20 ,3,1,0,69,21,6
0 ,0 ,198 ,57 ,12 ,6 ,15 ,4 ,1 ,0 ,150 ,10 ,18 ,1 ,45 ,6 ,64 ,2 ,70 ,15,25,6,222,17,10
2 ,3 ,663 ,171 ,76 ,22 ,53 ,13 ,35 ,10 ,467 ,44 ,49 ,16 ,92 ,12 ,202 ,19 ,231 ,46,50,9,311,57,76
0 ,0 ,495 ,103 ,62 ,20 ,52 ,6 ,36 ,2 ,253 ,24 ,31 ,4 ,80 ,10 ,129 ,13 ,141 ,21,26,5,252,24,70
0 ,0 ,112 ,13 ,8 ,1 ,11 ,1 ,2 ,1 ,83 ,4 ,9 ,1 ,26 ,1 ,29 ,2 ,33 ,4,5,0,74,3,7
80 ,20 ,8018 ,2070 ,853 ,289 ,875 ,107 ,294 ,79 ,5134 ,425 ,721 ,105 ,1356 ,252 ,2940 ,209 ,2462 ,373,680,105,"5,954",933,894
0 ,0 ,203 ,39 ,48 ,12 ,26 ,5 ,7 ,1 ,126 ,7 ,19 ,0 ,38 ,3 ,61 ,3 ,64 ,13,10,3,137,8,36
0 ,0 ,77 ,25 ,7 ,0 ,18 ,2 ,2 ,0 ,43 ,8 ,4 ,1 ,13 ,4 ,22 ,0 ,17 ,2,1,1,69,13,14
0 ,0 ,115 ,26 ,7 ,2 ,11 ,3 ,0 ,2 ,57 ,3 ,10 ,1 ,24 ,2 ,23 ,3 ,27 ,3,3,2,63,3,17
1 ,1 ,206 ,50 ,22 ,7 ,18 ,3 ,8 ,0 ,126 ,10 ,7 ,1 ,41 ,3 ,61 ,5 ,77 ,13,11,0,190,34,18
0 ,0 ,94 ,32 ,5 ,1 ,31 ,4 ,6 ,0 ,181 ,11 ,11 ,1 ,33 ,0 ,59 ,2 ,41 ,5,4,0,50,12,5
1 ,0 ,101 ,15 ,4 ,0 ,1 ,0 ,1 ,1 ,60 ,3 ,5 ,2 ,11 ,3 ,22 ,0 ,35 ,3,5,0,77,7,1
1 ,0 ,129 ,28 ,8 ,1 ,13 ,0 ,3 ,0 ,120 ,14 ,11 ,0 ,21 ,7 ,42 ,2 ,44 ,10,16,15,82,17,8
1 ,0 ,152 ,29 ,11 ,0 ,11 ,0 ,3 ,2 ,78 ,4 ,5 ,1 ,32 ,2 ,38 ,5 ,33 ,9,5,0,151,22,10
0 ,0 ,97 ,11 ,5 ,3 ,12 ,1 ,5 ,0 ,72 ,3 ,10 ,0 ,15 ,4 ,35 ,1 ,22 ,9,8,2,117,8,22
3 ,0 ,81 ,21 ,2 ,0 ,18 ,3 ,1 ,0 ,80 ,10 ,4 ,0 ,19 ,3 ,8 ,0 ,26 ,1,3,0,58,3,4
0 ,0 ,42 ,10 ,9 ,1 ,4 ,1 ,0 ,0 ,24 ,5 ,1 ,0 ,14 ,0 ,31 ,0 ,16 ,3,3,1,46,4,5
1 ,0 ,189 ,50 ,29 ,10 ,30 ,1 ,5 ,0 ,109 ,4 ,24 ,5 ,26 ,7 ,91 ,6 ,50 ,7,9,2,203,43,23
1 ,0 ,57 ,6 ,3 ,0 ,10 ,0 ,1 ,0 ,37 ,1 ,3 ,2 ,11 ,0 ,17 ,0 ,13 ,0,4,1,38,5,5
9 ,1 ,378 ,72 ,51 ,17 ,45 ,0 ,18 ,4 ,119 ,7 ,9 ,4 ,66 ,3 ,88 ,4 ,120 ,15,26,3,202,18,26
2 ,0 ,60 ,15 ,6 ,2 ,3 ,1 ,3 ,2 ,42 ,1 ,4 ,1 ,13 ,6 ,23 ,2 ,12 ,0,4,2,55,7,5
2 ,0 ,225 ,46 ,20 ,7 ,27 ,4 ,7 ,1 ,171 ,12 ,35 ,1 ,42 ,8 ,71 ,7 ,71 ,4,16,0,178,23,20
6 ,1 ,130 ,29 ,6 ,1 ,8 ,0 ,5 ,0 ,99 ,13 ,17 ,1 ,22 ,8 ,49 ,6 ,32 ,5,8,2,96,26,16
1 ,1 ,165 ,33 ,9 ,3 ,23 ,3 ,4 ,4 ,123 ,6 ,25 ,2 ,26 ,10 ,32 ,1 ,41 ,2,10,3,80,10,17
0 ,0 ,230 ,75 ,16 ,5 ,14 ,5 ,2 ,1 ,149 ,14 ,29 ,4 ,39 ,5 ,72 ,10 ,50 ,10,21,1,157,16,42
0 ,1 ,245 ,66 ,11 ,1 ,26 ,2 ,5 ,1 ,183 ,11 ,23 ,5 ,52 ,7 ,42 ,2 ,119 ,16,18,0,202,42,25
2 ,2 ,178 ,42 ,19 ,9 ,19 ,2 ,3 ,0 ,88 ,5 ,13 ,3 ,22 ,4 ,27 ,2 ,37 ,5,9,2,84,17,17
3 ,0 ,89 ,19 ,3 ,0 ,4 ,0 ,1 ,0 ,91 ,7 ,10 ,0 ,12 ,3 ,33 ,0 ,34 ,6,13,0,107,23,11
2 ,0 ,260 ,78 ,23 ,7 ,11 ,0 ,9 ,0 ,138 ,9 ,24 ,1 ,40 ,16 ,161 ,8 ,57 ,15,12,2,182,33,15
12 ,8 ,1092 ,433 ,145 ,60 ,149 ,21 ,65 ,22 ,637 ,76 ,174 ,31 ,145 ,44 ,758 ,68 ,350 ,87,188,24,952,241,213
1 ,0 ,131 ,22 ,14 ,1 ,6 ,3 ,1 ,1 ,100 ,6 ,5 ,1 ,30 ,4 ,61 ,3 ,69 ,5,9,0,141,6,13
2 ,1 ,105 ,19 ,2 ,0 ,6 ,2 ,4 ,1 ,40 ,6 ,6 ,2 ,21 ,3 ,19 ,2 ,25 ,1,14,3,75,14,11
2 ,0 ,206 ,77 ,35 ,17 ,44 ,3 ,8 ,4 ,187 ,20 ,17 ,4 ,47 ,10 ,40 ,4 ,109 ,16,15,3,148,24,16
3 ,0 ,134 ,26 ,9 ,5 ,12 ,0 ,1 ,1 ,82 ,3 ,7 ,0 ,30 ,2 ,16 ,1 ,36 ,3,4,2,97,13,8
0 ,0 ,98 ,26 ,2 ,0 ,14 ,2 ,2 ,1 ,71 ,8 ,10 ,0 ,21 ,3 ,24 ,0 ,28 ,6,14,5,83,6,14
4 ,0 ,172 ,55 ,34 ,15 ,23 ,3 ,13 ,2 ,152 ,5 ,17 ,5 ,34 ,4 ,94 ,14 ,56 ,5,18,4,107,9,27
5 ,0 ,251 ,79 ,30 ,6 ,32 ,2 ,8 ,3 ,188 ,16 ,22 ,4 ,48 ,7 ,115 ,8 ,101 ,7,23,0,183,27,11
0 ,0 ,204 ,52 ,8 ,2 ,32 ,9 ,12 ,6 ,138 ,8 ,15 ,1 ,44 ,5 ,65 ,5 ,45 ,10,14,0,82,26,16
2 ,0 ,160 ,44 ,28 ,6 ,15 ,2 ,4 ,2 ,98 ,10 ,11 ,3 ,31 ,8 ,55 ,6 ,50 ,3,14,1,129,14,18
0 ,0 ,88 ,11 ,5 ,1 ,2 ,0 ,1 ,0 ,54 ,5 ,1 ,1 ,12 ,0 ,37 ,1 ,29 ,3,8,0,111,6,7
0 ,0 ,124 ,22 ,15 ,3 ,4 ,2 ,1 ,0 ,38 ,5 ,6 ,1 ,14 ,2 ,36 ,1 ,27 ,3,2,1,94,8,16
0 ,0 ,250 ,42 ,19 ,10 ,11 ,1 ,10 ,1 ,107 ,4 ,13 ,3 ,30 ,5 ,51 ,2 ,38 ,6,12,1,147,17,11
1 ,1 ,257 ,70 ,55 ,20 ,29 ,4 ,6 ,1 ,144 ,14 ,22 ,4 ,37 ,10 ,92 ,6 ,68 ,12,16,1,229,24,21
1 ,1 ,57 ,14 ,6 ,5 ,5 ,0 ,0 ,1 ,39 ,4 ,2 ,0 ,8 ,0 ,4 ,0 ,17 ,4,0,2,67,10,7
0 ,1 ,162 ,36 ,19 ,4 ,12 ,4 ,4 ,3 ,104 ,5 ,15 ,0 ,22 ,3 ,39 ,0 ,53 ,3,7,1,137,17,10
8 ,0 ,519 ,131 ,47 ,24 ,36 ,7 ,39 ,8 ,340 ,35 ,45 ,4 ,63 ,17 ,203 ,10 ,189 ,23,57,12,227,31,69
2 ,0 ,417 ,81 ,53 ,19 ,52 ,2 ,16 ,3 ,234 ,26 ,21 ,5 ,71 ,14 ,96 ,8 ,113 ,18,44,3,261,42,39
1 ,1 ,88 ,13 ,3 ,2 ,8 ,0 ,0 ,0 ,65 ,1 ,9 ,0 ,16 ,3 ,27 ,1 ,21 ,2,2,0,60,4,5
94 ,17 ,9119 ,2437 ,883 ,269 ,1030 ,129 ,338 ,71 ,5865 ,439 ,801 ,120 ,1556 ,261 ,3423 ,243 ,2752 ,448,710,94,"6,917","1,196",869
2 ,0 ,229 ,60 ,33 ,11 ,21 ,3 ,1 ,2 ,114 ,11 ,15 ,1 ,45 ,13 ,72 ,6 ,94 ,12,8,0,183,26,34
0 ,0 ,51 ,27 ,5 ,1 ,8 ,0 ,9 ,1 ,39 ,4 ,7 ,1 ,15 ,0 ,30 ,0 ,25 ,2,5,0,99,30,18
3 ,0 ,109 ,32 ,8 ,1 ,8 ,1 ,6 ,0 ,66 ,2 ,7 ,1 ,19 ,1 ,28 ,2 ,15 ,5,3,0,92,9,13
0 ,0 ,230 ,52 ,18 ,8 ,11 ,1 ,2 ,2 ,152 ,10 ,16 ,2 ,36 ,6 ,93 ,9 ,95 ,3,15,1,197,36,22
0 ,0 ,103 ,21 ,8 ,3 ,41 ,2 ,13 ,4 ,219 ,6 ,15 ,1 ,28 ,5 ,52 ,3 ,35 ,6,5,2,65,10,11
0 ,0 ,101 ,13 ,7 ,0 ,10 ,3 ,1 ,0 ,74 ,1 ,13 ,1 ,13 ,1 ,28 ,3 ,36 ,1,6,0,78,9,4
1 ,0 ,169 ,28 ,6 ,1 ,14 ,5 ,2 ,2 ,130 ,3 ,11 ,3 ,32 ,6 ,21 ,3 ,45 ,4,12,1,135,29,11
1 ,0 ,202 ,26 ,6 ,0 ,19 ,0 ,4 ,1 ,100 ,5 ,12 ,5 ,35 ,4 ,59 ,4 ,56 ,5,4,0,163,13,6
0 ,0 ,126 ,16 ,12 ,3 ,12 ,2 ,0 ,0 ,64 ,2 ,15 ,0 ,24 ,2 ,45 ,1 ,34 ,3,13,1,133,11,19
0 ,0 ,116 ,26 ,4 ,0 ,14 ,1 ,1 ,1 ,75 ,4 ,12 ,1 ,17 ,4 ,11 ,0 ,28 ,3,5,3,71,6,9
0 ,0 ,74 ,6 ,5 ,3 ,2 ,0 ,1 ,0 ,38 ,0 ,1 ,0 ,13 ,2 ,62 ,1 ,16 ,4,3,0,62,6,3
2 ,0 ,239 ,68 ,20 ,10 ,27 ,1 ,9 ,1 ,125 ,9 ,30 ,2 ,36 ,4 ,77 ,7 ,53 ,9,10,5,193,56,17
0 ,0 ,79 ,22 ,8 ,0 ,12 ,1 ,0 ,1 ,45 ,2 ,11 ,0 ,17 ,3 ,28 ,3 ,15 ,2,4,0,63,6,11
7 ,1 ,404 ,78 ,61 ,21 ,45 ,9 ,18 ,2 ,143 ,9 ,30 ,3 ,67 ,6 ,97 ,12 ,102 ,18,29,3,267,67,25
1 ,0 ,99 ,21 ,5 ,1 ,7 ,1 ,1 ,1 ,59 ,5 ,2 ,0 ,15 ,4 ,19 ,1 ,26 ,4,4,1,79,18,13
3 ,0 ,276 ,59 ,27 ,2 ,24 ,4 ,2 ,0 ,206 ,11 ,18 ,1 ,44 ,3 ,83 ,5 ,53 ,7,9,0,185,23,21
0 ,0 ,148 ,33 ,7 ,0 ,7 ,1 ,5 ,1 ,127 ,14 ,16 ,3 ,17 ,6 ,88 ,11 ,31 ,5,12,0,131,38,10
1 ,0 ,159 ,27 ,3 ,2 ,33 ,2 ,5 ,0 ,143 ,14 ,13 ,0 ,40 ,6 ,33 ,0 ,52 ,5,9,0,62,3,6
5 ,0 ,289 ,67 ,28 ,6 ,16 ,4 ,7 ,0 ,152 ,6 ,27 ,5 ,59 ,7 ,82 ,5 ,59 ,11,22,8,162,22,28
1 ,0 ,254 ,56 ,10 ,1 ,34 ,3 ,14 ,5 ,195 ,9 ,17 ,2 ,49 ,4 ,64 ,4 ,99 ,13,19,4,187,37,7
5 ,1 ,167 ,39 ,25 ,7 ,19 ,1 ,7 ,1 ,97 ,5 ,24 ,0 ,24 ,7 ,43 ,6 ,52 ,9,8,2,124,24,14
2 ,0 ,106 ,31 ,7 ,0 ,10 ,1 ,1 ,0 ,92 ,5 ,2 ,0 ,19 ,2 ,22 ,2 ,37 ,6,20,1,115,21,12
6 ,1 ,271 ,70 ,19 ,7 ,26 ,1 ,11 ,1 ,159 ,10 ,27 ,3 ,52 ,10 ,163 ,7 ,88 ,9,12,4,240,39,20
19 ,3 ,1262 ,565 ,120 ,52 ,175 ,26 ,82 ,14 ,732 ,111 ,188 ,34 ,193 ,36 ,812 ,68 ,356 ,125,168,19,971,299,225
1 ,1 ,153 ,33 ,7 ,2 ,15 ,2 ,2 ,0 ,101 ,5 ,3 ,0 ,27 ,8 ,50 ,2 ,65 ,6,6,2,119,10,6
0 ,0 ,125 ,38 ,5 ,0 ,11 ,1 ,4 ,0 ,42 ,6 ,7 ,2 ,17 ,1 ,29 ,6 ,24 ,3,9,1,84,9,24
0 ,0 ,286 ,80 ,42 ,14 ,55 ,8 ,4 ,0 ,216 ,20 ,23 ,8 ,62 ,13 ,64 ,7 ,139 ,14,20,5,175,28,12
0 ,0 ,122 ,35 ,15 ,2 ,11 ,4 ,5 ,1 ,80 ,4 ,15 ,2 ,21 ,3 ,27 ,1 ,53 ,3,8,1,140,14,7
0 ,0 ,132 ,38 ,5 ,0 ,19 ,0 ,4 ,0 ,84 ,8 ,9 ,2 ,25 ,3 ,30 ,3 ,40 ,9,13,1,104,24,6
4 ,0 ,219 ,47 ,45 ,10 ,14 ,2 ,9 ,1 ,167 ,13 ,11 ,1 ,40 ,10 ,104 ,10 ,65 ,11,17,3,159,17,27
2 ,0 ,310 ,90 ,23 ,10 ,38 ,6 ,5 ,2 ,207 ,12 ,19 ,5 ,64 ,5 ,178 ,6 ,115 ,18,14,1,188,30,20
1 ,1 ,163 ,64 ,11 ,1 ,30 ,1 ,5 ,3 ,165 ,13 ,10 ,2 ,37 ,11 ,70 ,2 ,60 ,13,19,1,107,12,15
1 ,0 ,148 ,47 ,17 ,6 ,21 ,2 ,3 ,1 ,111 ,12 ,11 ,1 ,27 ,5 ,76 ,2 ,44 ,9,22,3,126,12,23
1 ,0 ,99 ,13 ,4 ,1 ,2 ,2 ,4 ,0 ,48 ,3 ,2 ,0 ,14 ,2 ,44 ,4 ,34 ,0,6,0,77,3,8
0 ,0 ,138 ,30 ,17 ,5 ,20 ,1 ,3 ,0 ,34 ,4 ,12 ,1 ,18 ,2 ,29 ,2 ,20 ,5,11,1,122,12,15
0 ,0 ,231 ,46 ,26 ,10 ,14 ,4 ,8 ,4 ,88 ,10 ,17 ,0 ,33 ,6 ,65 ,7 ,41 ,5,12,0,183,16,9
4 ,0 ,268 ,82 ,40 ,11 ,30 ,4 ,8 ,7 ,203 ,11 ,24 ,1 ,48 ,6 ,95 ,5 ,82 ,20,24,2,264,26,14
2 ,0 ,63 ,19 ,8 ,6 ,13 ,1 ,2 ,0 ,50 ,1 ,7 ,2 ,7 ,1 ,21 ,1 ,16 ,4,5,0,87,11,6
1 ,0 ,184 ,37 ,15 ,6 ,10 ,2 ,5 ,0 ,102 ,6 ,14 ,1 ,23 ,6 ,40 ,4 ,46 ,5,6,2,188,25,9
9 ,7 ,606 ,147 ,68 ,24 ,73 ,5 ,36 ,6 ,447 ,34 ,58 ,13 ,77 ,12 ,247 ,9 ,249 ,31,66,13,293,28,68
8 ,2 ,504 ,132 ,75 ,18 ,51 ,10 ,29 ,6 ,308 ,14 ,28 ,9 ,94 ,21 ,120 ,7 ,139 ,19,39,3,361,74,36
1 ,0 ,105 ,16 ,8 ,3 ,8 ,1 ,0 ,0 ,66 ,5 ,2 ,1 ,13 ,4 ,22 ,2 ,18 ,2,8,0,83,7,5
91 ,32 ,10147 ,2630 ,959 ,329 ,1098 ,181 ,366 ,94 ,6342 ,555 ,902 ,125 ,1847 ,293 ,3752 ,249 ,3272 ,516,813,95,"7,932","1,191",976
1 ,1 ,306 ,60 ,43 ,11 ,20 ,6 ,10 ,4 ,149 ,14 ,20 ,0 ,46 ,7 ,100 ,8 ,91 ,12,12,0,228,28,24
0 ,1 ,112 ,31 ,5 ,1 ,12 ,1 ,2 ,1 ,67 ,5 ,10 ,2 ,11 ,2 ,31 ,1 ,23 ,4,5,1,85,28,15
2 ,0 ,131 ,41 ,5 ,0 ,14 ,3 ,3 ,0 ,77 ,7 ,13 ,2 ,13 ,3 ,18 ,0 ,27 ,8,2,5,99,17,13
2 ,0 ,237 ,50 ,26 ,5 ,27 ,0 ,7 ,0 ,126 ,11 ,22 ,3 ,27 ,5 ,91 ,4 ,131 ,5,15,0,262,31,10
1 ,0 ,88 ,27 ,6 ,1 ,27 ,7 ,3 ,3 ,256 ,8 ,12 ,0 ,30 ,4 ,55 ,6 ,66 ,11,9,0,85,6,5
3 ,0 ,145 ,13 ,2 ,0 ,13 ,2 ,0 ,0 ,91 ,6 ,7 ,0 ,18 ,2 ,35 ,0 ,41 ,2,4,0,109,9,6
0 ,0 ,215 ,67 ,7 ,3 ,14 ,5 ,1 ,1 ,170 ,21 ,23 ,1 ,41 ,11 ,55 ,3 ,81 ,15,19,2,183,15,16
1 ,0 ,205 ,27 ,11 ,0 ,20 ,0 ,9 ,1 ,78 ,6 ,7 ,2 ,53 ,3 ,44 ,1 ,80 ,6,11,0,215,21,11
