Number.of.Homicide.Convictions,Number.of.Homicide.Unsuccessful,Number.of.Offences.Against.The.Person.Convictions,Number.of.Offences.Against.The.Person.Unsuccessful,Number.of.Sexual.Offences.Convictions,Number.of.Sexual.Offences.Unsuccessful,Number.of.Burglary.Convictions,Number.of.Burglary.Unsuccessful,Number.of.Robbery.Convictions,Number.of.Robbery.Unsuccessful,Number.of.Theft.And.Handling.Convictions,Number.of.Theft.And.Handling.Unsuccessful,Number.of.Fraud.And.Forgery.Convictions,Number.of.Fraud.And.Forgery.Unsuccessful,Number.of.Criminal.Damage.Convictions,Number.of.Criminal.Damage.Unsuccessful,Number.of.Drugs.Offences.Convictions,Number.of.Drugs.Offences.Unsuccessful,Number.of.Public.Order.Offences.Convictions,Number.of.Public.Order.Offences.Unsuccessful,Number.of.All.Other.Offences..excluding.Motoring..Convictions,Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful,Number.of.Motoring.Offences.Convictions,Number.of.Motoring.Offences.Unsuccessful,Number.of.Admin.Finalised.Unsuccessful
2 ,0 ,310 ,59 ,20 ,8 ,16 ,0 ,6 ,0 ,163 ,14 ,10 ,0 ,40 ,10 ,167 ,7 ,58 ,3,15,4,210,27,19
20 ,7 ,1461 ,637 ,152 ,69 ,166 ,41 ,62 ,31 ,880 ,129 ,247 ,42 ,216 ,71 ,973 ,103 ,442 ,130,96,20,950,211,267
0 ,0 ,146 ,31 ,9 ,2 ,17 ,0 ,2 ,0 ,125 ,7 ,5 ,0 ,16 ,4 ,54 ,1 ,75 ,5,12,0,141,5,14
1 ,1 ,77 ,28 ,4 ,0 ,7 ,0 ,5 ,1 ,69 ,5 ,3 ,1 ,22 ,5 ,25 ,2 ,24 ,3,4,0,65,11,19
6 ,2 ,240 ,84 ,34 ,22 ,42 ,14 ,2 ,6 ,278 ,38 ,22 ,7 ,57 ,16 ,62 ,11 ,131 ,30,20,2,183,103,27
0 ,0 ,125 ,28 ,23 ,7 ,9 ,1 ,2 ,0 ,108 ,1 ,11 ,0 ,32 ,4 ,27 ,1 ,45 ,6,11,0,97,11,8
1 ,0 ,107 ,29 ,4 ,2 ,5 ,2 ,1 ,0 ,120 ,7 ,5 ,4 ,40 ,4 ,29 ,1 ,35 ,6,14,2,119,12,4
5 ,1 ,212 ,72 ,46 ,12 ,24 ,4 ,4 ,1 ,147 ,21 ,12 ,0 ,43 ,12 ,111 ,7 ,80 ,13,24,1,139,21,44
6 ,0 ,317 ,76 ,26 ,5 ,27 ,2 ,4 ,2 ,214 ,10 ,19 ,2 ,53 ,9 ,138 ,6 ,117 ,17,9,3,206,18,17
3 ,1 ,212 ,72 ,12 ,1 ,20 ,5 ,7 ,2 ,196 ,8 ,13 ,0 ,50 ,13 ,69 ,7 ,78 ,9,9,0,158,27,20
0 ,0 ,175 ,42 ,23 ,5 ,28 ,4 ,3 ,0 ,160 ,11 ,7 ,1 ,32 ,9 ,52 ,8 ,64 ,12,12,1,146,20,8
1 ,1 ,106 ,15 ,7 ,0 ,6 ,1 ,2 ,0 ,52 ,0 ,2 ,0 ,22 ,2 ,35 ,4 ,33 ,5,7,0,96,5,11
0 ,0 ,95 ,33 ,16 ,5 ,4 ,1 ,3 ,0 ,56 ,1 ,7 ,2 ,15 ,3 ,28 ,4 ,20 ,3,6,1,93,4,11
0 ,0 ,196 ,34 ,21 ,6 ,21 ,0 ,8 ,2 ,94 ,3 ,9 ,2 ,28 ,3 ,67 ,3 ,51 ,4,18,1,182,16,16
3 ,0 ,295 ,99 ,44 ,14 ,31 ,7 ,12 ,7 ,216 ,10 ,31 ,1 ,47 ,4 ,114 ,10 ,74 ,31,22,3,233,40,40
1 ,0 ,60 ,16 ,13 ,0 ,6 ,2 ,0 ,0 ,81 ,3 ,8 ,2 ,12 ,1 ,16 ,0 ,30 ,2,1,1,59,13,3
1 ,0 ,204 ,38 ,24 ,11 ,6 ,5 ,2 ,1 ,149 ,7 ,11 ,2 ,29 ,6 ,57 ,2 ,53 ,8,11,2,199,34,12
6 ,3 ,587 ,173 ,64 ,29 ,62 ,7 ,39 ,10 ,504 ,49 ,50 ,7 ,101 ,10 ,206 ,13 ,203 ,28,54,7,309,52,80
6 ,2 ,413 ,108 ,59 ,24 ,57 ,20 ,16 ,10 ,232 ,17 ,25 ,8 ,77 ,12 ,129 ,6 ,108 ,12,34,5,270,46,37
0 ,0 ,84 ,11 ,8 ,5 ,4 ,1 ,3 ,0 ,61 ,2 ,10 ,0 ,17 ,3 ,28 ,2 ,17 ,3,4,0,68,4,5
88 ,20 ,11741 ,3262 ,971 ,367 ,1371 ,242 ,419 ,114 ,8276 ,757 ,1027 ,171 ,2166 ,369 ,4457 ,303 ,3597 ,722,710,125,"7,962","1,509",963
6 ,0 ,348 ,105 ,50 ,26 ,37 ,6 ,10 ,0 ,203 ,26 ,18 ,4 ,55 ,11 ,127 ,6 ,63 ,17,9,3,220,78,151
1 ,0 ,180 ,47 ,14 ,1 ,21 ,2 ,7 ,5 ,151 ,7 ,5 ,1 ,42 ,4 ,44 ,2 ,42 ,13,3,1,137,29,9
3 ,2 ,132 ,27 ,11 ,2 ,26 ,5 ,7 ,2 ,72 ,4 ,10 ,1 ,11 ,2 ,34 ,1 ,33 ,3,4,0,92,14,17
2 ,0 ,302 ,59 ,27 ,11 ,21 ,3 ,3 ,3 ,162 ,4 ,11 ,0 ,43 ,4 ,112 ,3 ,131 ,6,4,0,186,13,6
2 ,0 ,148 ,32 ,9 ,2 ,34 ,5 ,4 ,0 ,248 ,14 ,6 ,0 ,46 ,6 ,62 ,7 ,56 ,9,13,1,99,8,4
0 ,0 ,106 ,17 ,4 ,0 ,4 ,0 ,0 ,0 ,79 ,1 ,3 ,2 ,16 ,1 ,37 ,3 ,45 ,3,4,7,78,9,3
0 ,1 ,213 ,67 ,9 ,0 ,22 ,5 ,6 ,1 ,129 ,12 ,14 ,2 ,50 ,15 ,64 ,6 ,56 ,13,9,2,132,10,18
4 ,0 ,234 ,93 ,16 ,3 ,33 ,8 ,5 ,0 ,137 ,15 ,19 ,6 ,41 ,4 ,76 ,5 ,70 ,12,7,1,180,26,21
0 ,0 ,142 ,36 ,9 ,3 ,17 ,1 ,0 ,0 ,88 ,2 ,10 ,0 ,21 ,1 ,37 ,2 ,44 ,4,5,0,71,3,8
2 ,1 ,162 ,41 ,5 ,0 ,24 ,1 ,3 ,2 ,131 ,12 ,13 ,1 ,29 ,6 ,28 ,2 ,30 ,6,6,3,88,5,4
0 ,0 ,70 ,12 ,6 ,4 ,3 ,2 ,0 ,0 ,39 ,1 ,0 ,0 ,14 ,5 ,58 ,1 ,27 ,5,8,0,81,12,2
6 ,0 ,321 ,88 ,35 ,24 ,37 ,6 ,12 ,4 ,168 ,10 ,30 ,1 ,55 ,9 ,82 ,4 ,57 ,12,17,1,202,67,19
0 ,0 ,115 ,32 ,1 ,1 ,19 ,1 ,8 ,1 ,97 ,2 ,7 ,3 ,18 ,3 ,37 ,0 ,21 ,3,3,2,75,4,31
3 ,1 ,687 ,119 ,75 ,24 ,85 ,11 ,34 ,3 ,347 ,23 ,49 ,2 ,122 ,13 ,127 ,11 ,155 ,24,38,12,463,67,42
1 ,0 ,75 ,22 ,9 ,5 ,9 ,1 ,2 ,0 ,65 ,4 ,4 ,0 ,15 ,5 ,49 ,0 ,17 ,5,2,1,97,12,3
1 ,0 ,253 ,56 ,24 ,9 ,33 ,4 ,4 ,0 ,193 ,17 ,23 ,3 ,55 ,5 ,77 ,4 ,82 ,7,13,1,228,27,25
1 ,0 ,332 ,96 ,16 ,6 ,25 ,1 ,7 ,1 ,246 ,19 ,45 ,10 ,48 ,6 ,130 ,7 ,70 ,18,12,1,239,38,13
1 ,0 ,157 ,35 ,24 ,11 ,33 ,2 ,7 ,1 ,164 ,5 ,9 ,1 ,55 ,4 ,67 ,6 ,57 ,10,9,2,130,20,4
7 ,0 ,273 ,65 ,25 ,8 ,37 ,11 ,18 ,2 ,177 ,33 ,46 ,10 ,48 ,10 ,103 ,7 ,59 ,6,30,1,176,27,22
0 ,0 ,309 ,69 ,15 ,3 ,54 ,6 ,14 ,2 ,304 ,20 ,17 ,0 ,69 ,7 ,99 ,4 ,158 ,42,24,2,274,53,5
5 ,0 ,148 ,44 ,18 ,7 ,20 ,2 ,6 ,2 ,108 ,12 ,12 ,2 ,22 ,9 ,31 ,3 ,54 ,9,12,1,97,14,19
0 ,0 ,116 ,26 ,9 ,2 ,15 ,2 ,2 ,0 ,102 ,17 ,8 ,2 ,27 ,1 ,29 ,1 ,41 ,12,15,3,104,16,12
1 ,0 ,423 ,68 ,39 ,9 ,27 ,2 ,8 ,2 ,254 ,8 ,34 ,4 ,48 ,5 ,199 ,10 ,100 ,23,19,4,191,31,15
15 ,4 ,1802 ,759 ,127 ,56 ,208 ,66 ,110 ,44 ,1043 ,196 ,259 ,54 ,289 ,59 ,1101 ,96 ,541 ,189,158,34,"1,118",409,199
0 ,0 ,175 ,49 ,15 ,0 ,10 ,0 ,3 ,0 ,99 ,11 ,15 ,3 ,34 ,3 ,66 ,3 ,78 ,9,10,2,99,14,12
1 ,1 ,130 ,35 ,2 ,2 ,13 ,2 ,1 ,2 ,100 ,9 ,6 ,1 ,22 ,13 ,35 ,3 ,23 ,9,9,0,98,18,10
1 ,1 ,362 ,122 ,25 ,8 ,44 ,12 ,10 ,3 ,412 ,36 ,27 ,8 ,101 ,27 ,140 ,8 ,196 ,41,27,1,211,27,18
0 ,0 ,173 ,29 ,13 ,7 ,11 ,3 ,3 ,0 ,122 ,8 ,9 ,0 ,55 ,10 ,42 ,5 ,68 ,9,12,1,114,23,4
1 ,0 ,116 ,26 ,5 ,1 ,18 ,0 ,7 ,0 ,97 ,5 ,13 ,0 ,36 ,3 ,32 ,1 ,56 ,5,12,2,120,9,5
1 ,0 ,255 ,84 ,41 ,8 ,30 ,3 ,3 ,3 ,197 ,20 ,9 ,8 ,55 ,12 ,122 ,8 ,81 ,22,14,2,167,20,26
1 ,0 ,393 ,105 ,15 ,12 ,54 ,7 ,6 ,1 ,270 ,9 ,36 ,4 ,64 ,8 ,152 ,5 ,129 ,18,6,2,213,46,15
1 ,0 ,219 ,51 ,1 ,1 ,39 ,3 ,11 ,2 ,263 ,14 ,13 ,1 ,45 ,10 ,89 ,2 ,94 ,7,17,3,180,31,10
1 ,0 ,238 ,53 ,23 ,10 ,24 ,7 ,4 ,0 ,143 ,17 ,9 ,2 ,64 ,13 ,83 ,3 ,83 ,8,10,2,213,45,16
1 ,0 ,117 ,18 ,6 ,3 ,8 ,3 ,0 ,1 ,75 ,2 ,8 ,2 ,23 ,4 ,37 ,2 ,41 ,3,7,0,100,5,7
0 ,0 ,160 ,30 ,17 ,7 ,12 ,0 ,3 ,4 ,62 ,10 ,10 ,3 ,18 ,2 ,36 ,2 ,18 ,3,2,0,105,10,8
1 ,0 ,265 ,55 ,39 ,18 ,23 ,10 ,9 ,4 ,169 ,8 ,19 ,0 ,44 ,10 ,86 ,9 ,72 ,12,10,4,200,18,20
3 ,1 ,482 ,193 ,44 ,18 ,56 ,17 ,14 ,6 ,358 ,36 ,28 ,7 ,72 ,15 ,197 ,22 ,114 ,31,28,4,310,55,23
1 ,1 ,65 ,14 ,6 ,3 ,10 ,1 ,0 ,0 ,50 ,5 ,5 ,0 ,7 ,3 ,20 ,0 ,32 ,4,7,1,98,25,5
1 ,0 ,231 ,59 ,18 ,9 ,28 ,6 ,3 ,0 ,126 ,2 ,13 ,4 ,38 ,4 ,65 ,3 ,74 ,11,12,1,248,54,12
7 ,4 ,727 ,175 ,66 ,22 ,68 ,9 ,44 ,10 ,632 ,56 ,102 ,15 ,132 ,16 ,283 ,23 ,278 ,57,80,13,349,66,83
5 ,3 ,472 ,127 ,48 ,18 ,72 ,6 ,18 ,3 ,313 ,36 ,40 ,3 ,98 ,19 ,135 ,13 ,121 ,19,19,2,287,49,33
1 ,0 ,113 ,22 ,10 ,3 ,7 ,0 ,3 ,0 ,81 ,9 ,13 ,1 ,19 ,2 ,27 ,0 ,30 ,3,4,2,92,2,4
101 ,35 ,10394 ,3087 ,1084 ,363 ,1159 ,191 ,348 ,103 ,7156 ,637 ,961 ,179 ,1831 ,337 ,4123 ,260 ,3245 ,634,697,128,"7,150","1,317",803
3 ,6 ,305 ,89 ,48 ,10 ,35 ,3 ,7 ,1 ,186 ,13 ,13 ,3 ,51 ,7 ,98 ,2 ,73 ,10,8,2,203,32,35
3 ,2 ,83 ,16 ,7 ,2 ,22 ,1 ,3 ,1 ,41 ,7 ,6 ,0 ,16 ,0 ,31 ,2 ,16 ,5,4,2,76,19,10
0 ,0 ,138 ,26 ,10 ,2 ,15 ,2 ,4 ,1 ,85 ,3 ,3 ,0 ,29 ,4 ,36 ,1 ,28 ,4,7,0,84,11,11
2 ,0 ,275 ,51 ,21 ,8 ,14 ,5 ,1 ,2 ,151 ,8 ,15 ,0 ,40 ,6 ,101 ,2 ,95 ,9,14,2,201,18,6
1 ,0 ,148 ,43 ,11 ,1 ,39 ,4 ,5 ,4 ,210 ,15 ,11 ,0 ,40 ,11 ,75 ,3 ,46 ,13,14,5,85,3,6
0 ,0 ,96 ,26 ,5 ,1 ,9 ,1 ,1 ,0 ,64 ,6 ,7 ,1 ,25 ,7 ,34 ,3 ,25 ,3,4,0,74,7,3
0 ,0 ,178 ,40 ,4 ,0 ,14 ,3 ,7 ,0 ,117 ,10 ,12 ,0 ,45 ,9 ,48 ,7 ,49 ,10,12,3,116,24,22
2 ,1 ,221 ,58 ,16 ,2 ,20 ,2 ,4 ,1 ,112 ,5 ,18 ,6 ,37 ,3 ,52 ,0 ,51 ,10,5,0,189,27,9
1 ,0 ,130 ,19 ,10 ,3 ,9 ,3 ,0 ,0 ,77 ,3 ,8 ,0 ,24 ,2 ,42 ,1 ,48 ,8,6,0,66,10,9
0 ,1 ,104 ,23 ,6 ,1 ,15 ,1 ,3 ,1 ,87 ,5 ,12 ,1 ,21 ,5 ,18 ,0 ,23 ,8,11,0,104,6,7
0 ,1 ,65 ,12 ,5 ,3 ,4 ,0 ,0 ,0 ,31 ,2 ,3 ,3 ,15 ,0 ,36 ,0 ,34 ,2,2,1,77,15,6
7 ,0 ,303 ,72 ,45 ,14 ,31 ,5 ,11 ,6 ,157 ,18 ,26 ,5 ,41 ,10 ,77 ,4 ,54 ,9,10,4,195,43,28
1 ,0 ,86 ,18 ,1 ,0 ,16 ,2 ,4 ,0 ,48 ,3 ,9 ,0 ,12 ,1 ,35 ,0 ,25 ,11,2,0,57,3,4
3 ,0 ,566 ,127 ,92 ,35 ,58 ,6 ,19 ,7 ,248 ,16 ,41 ,7 ,80 ,5 ,127 ,19 ,162 ,15,52,3,325,91,31
1 ,0 ,81 ,17 ,7 ,4 ,10 ,1 ,5 ,0 ,79 ,6 ,6 ,0 ,18 ,5 ,33 ,2 ,35 ,1,3,1,92,10,1
2 ,0 ,270 ,38 ,30 ,9 ,31 ,5 ,6 ,0 ,176 ,10 ,33 ,6 ,43 ,6 ,65 ,3 ,63 ,11,14,1,190,16,13
1 ,1 ,181 ,32 ,15 ,2 ,22 ,0 ,2 ,2 ,145 ,17 ,31 ,2 ,34 ,2 ,80 ,2 ,40 ,11,8,1,133,27,12
1 ,0 ,160 ,31 ,28 ,12 ,32 ,9 ,6 ,3 ,140 ,3 ,7 ,0 ,48 ,7 ,51 ,2 ,63 ,5,9,1,115,10,9
8 ,0 ,266 ,67 ,20 ,9 ,32 ,4 ,8 ,0 ,172 ,14 ,39 ,6 ,40 ,8 ,90 ,8 ,45 ,7,28,12,165,23,23
2 ,0 ,230 ,87 ,18 ,1 ,40 ,6 ,12 ,3 ,186 ,14 ,30 ,3 ,53 ,9 ,76 ,8 ,99 ,12,18,7,201,47,6
1 ,0 ,135 ,34 ,26 ,8 ,19 ,0 ,2 ,0 ,104 ,5 ,11 ,2 ,31 ,5 ,36 ,1 ,55 ,6,8,3,119,14,7
0 ,0 ,136 ,41 ,4 ,0 ,12 ,0 ,2 ,4 ,97 ,10 ,9 ,2 ,31 ,5 ,37 ,1 ,52 ,14,18,9,134,36,12
1 ,0 ,325 ,53 ,30 ,8 ,22 ,3 ,10 ,1 ,200 ,5 ,25 ,9 ,41 ,7 ,164 ,9 ,96 ,12,18,2,212,23,15
21 ,9 ,1804 ,862 ,143 ,75 ,195 ,47 ,92 ,33 ,1022 ,194 ,283 ,54 ,240 ,85 ,1075 ,102 ,518 ,165,106,29,919,301,222
0 ,0 ,154 ,34 ,13 ,2 ,20 ,3 ,6 ,0 ,116 ,7 ,9 ,2 ,40 ,6 ,44 ,0 ,69 ,6,16,2,98,4,12
0 ,0 ,122 ,36 ,7 ,0 ,6 ,0 ,1 ,0 ,90 ,8 ,4 ,0 ,20 ,1 ,33 ,0 ,24 ,4,11,14,111,13,21
6 ,1 ,295 ,85 ,41 ,14 ,52 ,10 ,2 ,4 ,304 ,24 ,24 ,5 ,77 ,19 ,98 ,3 ,158 ,31,20,4,198,37,13
1 ,0 ,144 ,40 ,24 ,7 ,19 ,2 ,0 ,0 ,112 ,7 ,12 ,3 ,29 ,4 ,42 ,2 ,45 ,12,9,0,121,19,6
2 ,0 ,101 ,32 ,10 ,0 ,18 ,2 ,2 ,0 ,114 ,10 ,4 ,4 ,28 ,4 ,63 ,5 ,62 ,6,12,0,98,15,10
5 ,1 ,225 ,63 ,37 ,7 ,23 ,11 ,16 ,3 ,189 ,20 ,22 ,6 ,46 ,8 ,132 ,9 ,55 ,19,15,4,175,26,26
3 ,0 ,332 ,124 ,28 ,9 ,36 ,7 ,9 ,1 ,252 ,20 ,19 ,4 ,59 ,14 ,201 ,10 ,129 ,22,19,1,268,78,11
4 ,3 ,213 ,76 ,13 ,0 ,25 ,4 ,13 ,1 ,226 ,12 ,23 ,3 ,60 ,8 ,127 ,1 ,87 ,4,18,1,174,29,20
1 ,4 ,215 ,83 ,23 ,8 ,30 ,0 ,5 ,0 ,147 ,3 ,6 ,1 ,48 ,7 ,65 ,4 ,94 ,21,13,1,162,39,15
1 ,0 ,114 ,19 ,7 ,4 ,3 ,1 ,2 ,0 ,67 ,6 ,9 ,2 ,25 ,2 ,39 ,1 ,38 ,8,6,1,94,2,15
1 ,0 ,115 ,39 ,27 ,5 ,9 ,0 ,6 ,1 ,50 ,1 ,5 ,1 ,17 ,2 ,37 ,2 ,23 ,6,1,0,123,11,5
1 ,2 ,224 ,62 ,21 ,16 ,18 ,3 ,3 ,8 ,146 ,13 ,16 ,5 ,38 ,8 ,90 ,5 ,56 ,9,12,3,184,17,12
2 ,0 ,351 ,122 ,40 ,22 ,23 ,6 ,7 ,1 ,210 ,22 ,24 ,6 ,40 ,6 ,124 ,5 ,90 ,22,22,3,228,28,15
1 ,0 ,60 ,13 ,8 ,1 ,9 ,1 ,2 ,0 ,47 ,6 ,11 ,4 ,8 ,4 ,19 ,2 ,23 ,2,5,1,94,14,2
0 ,0 ,199 ,41 ,19 ,11 ,18 ,6 ,1 ,1 ,167 ,16 ,11 ,1 ,35 ,8 ,82 ,4 ,68 ,13,13,1,182,45,3
5 ,2 ,655 ,209 ,83 ,25 ,67 ,14 ,39 ,8 ,548 ,44 ,67 ,15 ,96 ,12 ,243 ,15 ,249 ,57,75,3,349,77,75
7 ,1 ,475 ,120 ,65 ,20 ,56 ,8 ,19 ,5 ,345 ,20 ,27 ,5 ,89 ,13 ,131 ,7 ,135 ,26,46,1,298,43,32
0 ,0 ,114 ,7 ,16 ,2 ,11 ,0 ,1 ,0 ,91 ,6 ,10 ,2 ,21 ,2 ,36 ,3 ,45 ,5,3,0,61,4,3
112 ,21 ,11080 ,3080 ,1091 ,380 ,1152 ,224 ,398 ,86 ,7790 ,688 ,939 ,137 ,2061 ,343 ,4173 ,284 ,3508 ,659,793,129,"7,729","1,381",770
3 ,0 ,301 ,65 ,61 ,20 ,27 ,5 ,4 ,3 ,240 ,19 ,11 ,1 ,56 ,9 ,111 ,15 ,75 ,14,9,1,203,28,21
4 ,0 ,99 ,27 ,3 ,2 ,12 ,0 ,12 ,1 ,71 ,4 ,7 ,1 ,23 ,6 ,38 ,2 ,23 ,7,5,1,94,25,8
0 ,0 ,158 ,45 ,16 ,0 ,8 ,0 ,13 ,1 ,99 ,2 ,10 ,1 ,39 ,8 ,28 ,2 ,34 ,6,11,4,98,8,17
1 ,0 ,258 ,52 ,23 ,0 ,15 ,3 ,5 ,4 ,169 ,5 ,14 ,0 ,39 ,7 ,85 ,2 ,100 ,11,10,2,191,22,12
7 ,0 ,126 ,35 ,9 ,2 ,26 ,4 ,29 ,6 ,228 ,13 ,11 ,3 ,31 ,5 ,67 ,4 ,43 ,13,12,1,89,7,8
0 ,0 ,125 ,26 ,4 ,0 ,17 ,4 ,0 ,0 ,87 ,6 ,10 ,1 ,26 ,3 ,37 ,3 ,57 ,5,9,1,83,10,3
1 ,0 ,216 ,37 ,5 ,0 ,17 ,0 ,9 ,4 ,130 ,18 ,9 ,8 ,40 ,10 ,51 ,4 ,85 ,9,22,5,143,26,19
7 ,0 ,234 ,52 ,17 ,6 ,16 ,6 ,6 ,0 ,108 ,10 ,14 ,2 ,43 ,4 ,63 ,2 ,59 ,13,5,0,208,35,19
1 ,1 ,145 ,21 ,6 ,3 ,12 ,1 ,2 ,2 ,92 ,4 ,10 ,1 ,26 ,0 ,47 ,0 ,33 ,3,7,0,89,9,11
0 ,0 ,112 ,30 ,7 ,0 ,20 ,4 ,4 ,0 ,134 ,12 ,11 ,0 ,32 ,1 ,15 ,0 ,30 ,16,4,1,95,10,2
0 ,1 ,75 ,17 ,9 ,3 ,8 ,3 ,2 ,0 ,30 ,2 ,12 ,2 ,18 ,1 ,62 ,3 ,27 ,2,6,0,93,23,2
2 ,0 ,334 ,101 ,37 ,15 ,31 ,7 ,6 ,4 ,187 ,25 ,18 ,1 ,70 ,8 ,73 ,6 ,53 ,10,17,4,226,30,21
2 ,0 ,86 ,18 ,9 ,1 ,21 ,1 ,1 ,1 ,50 ,4 ,5 ,1 ,11 ,5 ,25 ,0 ,21 ,0,6,0,63,4,7
4 ,1 ,574 ,168 ,87 ,25 ,88 ,13 ,22 ,4 ,271 ,12 ,23 ,5 ,88 ,15 ,102 ,8 ,153 ,25,37,3,345,69,32
0 ,0 ,101 ,24 ,11 ,4 ,11 ,6 ,1 ,1 ,77 ,6 ,15 ,0 ,30 ,5 ,47 ,3 ,30 ,6,5,0,92,21,8
2 ,0 ,288 ,53 ,38 ,5 ,29 ,2 ,7 ,1 ,165 ,14 ,33 ,4 ,42 ,4 ,86 ,5 ,68 ,6,18,2,244,30,14
2 ,0 ,171 ,45 ,7 ,1 ,16 ,2 ,5 ,2 ,159 ,15 ,40 ,3 ,29 ,8 ,84 ,8 ,45 ,6,9,2,123,25,15
1 ,0 ,175 ,29 ,30 ,12 ,22 ,5 ,8 ,1 ,151 ,5 ,7 ,4 ,55 ,4 ,57 ,2 ,66 ,7,13,2,119,17,12
3 ,1 ,250 ,64 ,25 ,11 ,31 ,4 ,6 ,0 ,157 ,15 ,42 ,4 ,44 ,10 ,105 ,8 ,47 ,13,15,4,212,21,29
2 ,1 ,311 ,82 ,26 ,0 ,39 ,11 ,13 ,2 ,233 ,16 ,17 ,4 ,53 ,6 ,107 ,5 ,130 ,17,25,6,240,44,4
1 ,0 ,136 ,25 ,21 ,9 ,8 ,2 ,2 ,0 ,88 ,3 ,15 ,0 ,27 ,4 ,27 ,0 ,39 ,4,8,2,118,17,10
1 ,0 ,112 ,37 ,9 ,0 ,17 ,5 ,6 ,1 ,112 ,7 ,7 ,0 ,43 ,2 ,38 ,2 ,56 ,9,18,8,155,30,6
3 ,0 ,345 ,75 ,38 ,18 ,34 ,3 ,8 ,1 ,182 ,10 ,23 ,2 ,67 ,6 ,205 ,17 ,99 ,8,26,3,194,26,20
26 ,8 ,1827 ,775 ,169 ,84 ,205 ,45 ,84 ,21 ,1087 ,189 ,263 ,49 ,265 ,67 ,1156 ,106 ,494 ,194,135,31,"1,010",308,221
0 ,1 ,186 ,38 ,11 ,0 ,17 ,3 ,0 ,1 ,136 ,9 ,8 ,0 ,44 ,6 ,38 ,2 ,70 ,8,11,0,120,5,13
3 ,0 ,115 ,37 ,4 ,0 ,7 ,2 ,1 ,1 ,89 ,8 ,6 ,1 ,24 ,1 ,35 ,1 ,30 ,8,11,1,128,18,17
1 ,1 ,337 ,134 ,55 ,19 ,49 ,12 ,9 ,5 ,355 ,47 ,23 ,3 ,81 ,28 ,89 ,8 ,192 ,45,22,5,254,50,6
0 ,0 ,150 ,33 ,22 ,2 ,26 ,0 ,2 ,0 ,110 ,9 ,7 ,0 ,29 ,5 ,47 ,3 ,94 ,8,10,1,134,20,2
0 ,0 ,118 ,25 ,5 ,1 ,15 ,1 ,1 ,0 ,135 ,7 ,8 ,1 ,31 ,0 ,39 ,4 ,40 ,4,9,2,134,7,6
1 ,0 ,280 ,69 ,33 ,12 ,19 ,9 ,17 ,3 ,266 ,27 ,15 ,4 ,51 ,14 ,109 ,6 ,87 ,16,18,2,165,33,20
3 ,0 ,356 ,124 ,26 ,10 ,25 ,6 ,11 ,0 ,223 ,14 ,30 ,4 ,66 ,9 ,112 ,5 ,126 ,13,21,2,216,75,12
3 ,0 ,222 ,54 ,10 ,2 ,20 ,4 ,1 ,1 ,250 ,19 ,13 ,0 ,60 ,6 ,98 ,6 ,102 ,9,26,1,175,25,10
3 ,0 ,227 ,65 ,28 ,4 ,14 ,4 ,5 ,1 ,147 ,12 ,11 ,1 ,54 ,10 ,88 ,2 ,74 ,7,23,3,172,44,8
0 ,0 ,128 ,16 ,2 ,1 ,14 ,1 ,2 ,0 ,54 ,3 ,8 ,0 ,27 ,3 ,34 ,0 ,33 ,3,7,1,108,4,6
0 ,0 ,159 ,43 ,5 ,9 ,17 ,4 ,2 ,0 ,47 ,4 ,8 ,1 ,17 ,5 ,32 ,2 ,29 ,1,11,3,102,16,15
0 ,0 ,230 ,46 ,33 ,17 ,26 ,9 ,8 ,3 ,147 ,11 ,12 ,0 ,41 ,9 ,58 ,5 ,71 ,8,26,0,192,12,13
5 ,1 ,369 ,108 ,40 ,21 ,14 ,9 ,14 ,1 ,227 ,25 ,30 ,6 ,53 ,14 ,105 ,2 ,92 ,25,24,2,254,32,20
4 ,0 ,83 ,19 ,9 ,1 ,10 ,1 ,1 ,1 ,78 ,2 ,4 ,1 ,11 ,2 ,16 ,0 ,23 ,3,2,0,106,36,6
2 ,0 ,220 ,31 ,22 ,6 ,19 ,3 ,8 ,0 ,148 ,9 ,21 ,0 ,30 ,5 ,59 ,6 ,57 ,7,16,0,221,32,6
10 ,5 ,773 ,201 ,62 ,33 ,61 ,14 ,37 ,8 ,683 ,42 ,72 ,12 ,112 ,13 ,294 ,14 ,317 ,62,71,17,401,76,57
2 ,0 ,452 ,114 ,47 ,17 ,61 ,6 ,20 ,1 ,296 ,17 ,28 ,5 ,112 ,10 ,175 ,10 ,168 ,27,43,1,243,41,28
2 ,0 ,116 ,20 ,10 ,4 ,8 ,0 ,4 ,0 ,92 ,7 ,8 ,1 ,21 ,5 ,29 ,1 ,36 ,1,10,5,77,10,4
